DRUG	CAS-DAC-4	CAS-DAC-19	CAS-DAC-22	CAS-DAC-24	CAS-DAC-1	CAS-DAC-2	CAS-DAC-6	CAS-DAC-13	CAS-DAC-7	CAS-DAC-11	CAS-DAC-12	CAS-DAC-16	CAS-DAC-18	CAS-DAC-3	CAS-DAC-9	CAS-DAC-23	CAS-DAC-25	CAS-DAC-27	CAS-DAC-28	CAS-DAC-31	CAS-DAC-32	CAS-DAC-36	CAS-DAC-21	CAS-DAC-5	CAS-DAC-14	CAS-DAC-42	CAS-DAC-29	CAS-DAC-37	CAS-DAC-39	CAS-DAC-26	CAS-DAC-8	CAS-IPMN-1	CAS-DAC-15	CAS-DAC-20	CAS-DAC-30	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-38
S7620	0.723540433	0.550676955	0.885082943	0.7325114	0.556034868	0.894106533	0.572812324	0.929863942	0.708556297	0.947406673	0.785622037	0.523397345	0.889423081	0.684689538	1	0.781884396	0.729929435	0.705315023	0.632866631	0.704051353	0.756658524	0.878592599	0.869527582	0.935242749	0.729975606	0.867099088	0.74315611	0.717812117	0.711711964	0.700061248	0.766063038	0.821864525	0.798301598	0.569543855	0.832725991	0.714782328	0.679686626	0.748355502	0.621501529
S8344	0.597275762	0.494519184	0.737512573	0.618609322	0.503074899	0.759135917	0.456768956	0.751962484	0.596440761	0.758373755	0.707366487	0.483294702	0.741819986	0.649182117	1	0.69573298	0.581215061	0.659949062	0.515577344	0.697336671	0.645079751	0.747761856	0.776066992	0.955499731	0.675496827	0.768838682	0.637876663	0.652571976	0.636693285	0.520488882	0.638385297	0.720151109	0.675313066	0.593492642	0.74142833	0.631511086	0.685809263	0.651572252	0.480558941
S7110	0.655039769	0.539294924	0.886403428	0.702069868	0.50911018	0.854280365	0.531762314	0.805485571	0.642751898	0.852531113	0.744240007	0.525657133	0.842915454	0.628431241	0.981308959	0.659200265	0.645910659	0.705911652	0.518766869	0.696434312	0.750336843	0.849254417	0.826022855	1	0.755585378	0.871708788	0.694049211	0.751193121	0.717064575	0.631848758	0.745882492	0.754514693	0.727160262	0.558212499	0.793003033	0.72484445	0.703111891	0.770377595	0.635143042
S7360	0.581213233	0.488508026	0.738826406	0.624959384	0.499287282	0.803552358	0.501439424	0.711280438	0.56200062	0.762326794	0.651350898	0.464637226	0.715032507	0.582934381	0.936424792	0.590525802	0.521419133	0.604231513	0.501814402	0.616889653	0.660476521	0.704728177	0.716538631	1	0.656639956	0.719643203	0.622351907	0.578637624	0.635317805	0.52640899	0.650108474	0.633749333	0.643951023	0.459104009	0.76183946	0.570254047	0.577062946	0.685372893	0.581106127
S1181	0.841416753	0.639357277	0.910302614	0.842360471	0.546798931	0.956229152	0.647609468	0.862227426	0.774093208	0.902473394	0.675428899	0.593503618	0.961706852	0.699112944	0.660197565	0.946432677	0.821663952	0.745982865	0.760655041	0.878923714	0.728407381	0.939642222	0.814557227	0.855862289	0.781927917	0.902059003	0.885601998	0.868998273	0.857302931	0.828621043	0.904323377	1	0.652511664	0.742311976	0.912592204	0.881911617	0.796935094	0.837840936	0.753708356
S2018	0.800324493	0.573558858	0.828939676	0.783368452	0.48651793	0.865074999	0.538891872	0.760317094	0.662606788	0.856505685	0.651276798	0.540193448	0.864523775	0.640421007	0.777952504	0.821996095	0.724259979	0.712664876	0.672109422	0.788770579	0.698419752	0.889145079	0.752865636	0.83740291	0.682834464	0.80479803	0.822314641	0.805002784	0.732773171	0.730535392	0.818225842	1	0.587165392	0.683283463	0.816429009	0.824083306	0.725770894	0.768889338	0.652470831
PAC	0.564068085	0.275979662	0.80276309	0.630103353	0.154271565	0.921196792	0.379129557	0.91582388	0.577482553	0.567605583	0.525351608	0.48492362	0.510855957	0.490924705	0.395832869	0.921271806	0.704876986	0.690699453	0.589122413	0.622118554	0.679692194	0.864022325	0.624247892	0.49960648	0.719140114	0.782511277	0.560241109	0.582425765	1	0.792551821	0.684338283	0.726074593	0.465204387	0.561391472	0.762965921	0.589951955	0.79610543	0.768784221	0.460675867
GEM	0.550533664	0.390997319	0.615608137	0.367147269	0.214728869	0.860993675	0.38214745	1	0.616447246	0.57783458	0.619456262	0.469943608	0.220641798	0.493161666	0.407423648	0.970916755	0.67536847	0.537443199	0.483472839	0.627245927	0.559709294	0.625796464	0.650967716	0.624318068	0.585464057	0.82074955	0.599025971	0.482998373	0.592063145	0.832721756	0.579441235	0.664817973	0.459217434	0.56563086	0.929574985	0.531639181	0.547092503	0.741614439	0.349376869
IRI	0.703735341	0.863081213	0.926166407	0.730211989	0.791912315	0.907403671	0.814385841	0.970448118	0.679806681	0.862153897	0.843641967	0.8268869	0.781318671	0.751790524	0.654231455	0.993058992	0.983531718	0.732960743	0.978423326	0.911098259	0.825563409	0.873247277	0.877591322	0.854923649	0.724153712	0.953253454	0.854510742	0.842918327	0.820051516	0.941485127	0.830134254	0.894053266	0.729437052	0.745073143	1	0.929695273	0.864749821	0.973618474	0.881390025
5-FU	0.876031188	0.645524158	0.914075277	0.857062146	0.852948239	0.959475523	0.780954084	1	0.764766118	0.883671836	0.812417577	0.771627446	0.745118903	0.75565362	0.799231008	0.832745298	0.858252386	0.643032011	0.843210712	0.746565272	0.863732683	0.910838826	0.863399308	0.835497	0.985140305	0.814316456	0.823000703	0.685057065	0.79677299	0.816253387	0.912519181	0.842535721	0.645350185	0.834844265	0.838080342	0.867150701	0.702454916	0.924819713	0.921027717
OXA	0.855148568	0.846163794	0.905805326	0.861279201	0.858578683	1	0.962308038	0.97455548	0.680873777	0.923716265	0.884449198	0.637366	0.798949608	0.834063519	0.906296816	0.948584724	0.887073846	0.822477888	0.927093173	0.8969576	0.769308231	0.908515243	0.881969247	0.926920031	0.78722071	0.74506284	0.854876823	0.685270483	0.734784671	0.800312022	0.894769034	0.817886595	0.658177628	0.79197375	0.840859674	0.774516076	0.804852635	0.943644575	0.86910191
