DRUG	CAS-DAC-4	CAS-DAC-19	CAS-DAC-22	CAS-DAC-24	CAS-DAC-1	CAS-DAC-2	CAS-DAC-6	CAS-DAC-13	CAS-DAC-7	CAS-DAC-11	CAS-DAC-12	CAS-DAC-16	CAS-DAC-18	CAS-DAC-3	CAS-DAC-9	CAS-DAC-23	CAS-DAC-25	CAS-DAC-27	CAS-DAC-28	CAS-DAC-31	CAS-DAC-32	CAS-DAC-36	CAS-DAC-21	CAS-DAC-5	CAS-DAC-14	CAS-DAC-42	CAS-DAC-29	CAS-DAC-37	CAS-DAC-39	CAS-DAC-26	CAS-DAC-8	CAS-IPMN-1	CAS-DAC-15	CAS-DAC-20	CAS-DAC-30	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-38
S8057	0.914046939	0.833425823	0.923359255	0.927840477	0.855079668	0.957087021	0.798712642	0.939649853	0.808699194	0.997373517	0.840508928	0.844207702	0.969221109	0.862593436	0.971975985	0.908549539	0.974604118	0.857126884	0.869996529	0.863259432	0.925044648	0.956741143	0.873268888	0.86404838	0.896215549	0.938766499	0.936853565	0.91112762	0.915365998	0.884783665	0.897147876	0.918100086	0.83891257	0.860309628	0.983659449	1	0.911829344	0.886614923	0.980546305
S7588	0.918061966	0.729639584	0.950438997	0.937108286	0.603192968	0.991734937	0.786151909	0.943087424	0.853373124	0.955830962	0.787532597	0.818129193	0.885171731	0.794962666	0.770875454	0.921800883	0.877507323	0.769124415	0.876554824	0.899088417	0.845236008	1	0.895246396	0.818720361	0.823544383	0.887113522	0.889996024	0.78916034	0.847796562	0.929061954	0.899022917	0.918644575	0.753385707	0.776424346	0.958988759	0.888031024	0.80161451	0.856829012	0.882286298
S1249	0.741397716	0.458020371	0.815810165	0.62352497	0.45463209	0.838643872	0.492588675	0.975342922	0.497123906	0.831125272	0.515775002	0.513859261	0.743454617	0.463671925	0.648810074	0.798129462	0.500600165	0.61862636	0.487035699	0.750462364	0.758286311	0.853369207	0.700724714	0.654323297	1	0.800585833	0.749576723	0.636689145	0.952520493	0.605303394	0.85920128	0.584853695	0.450038542	0.493874294	0.741533578	0.792293371	0.62510943	0.82807538	0.761579484
S7070	0.73954211	0.560648625	0.578311102	0.836873033	0.608755918	0.855451027	0.471890549	0.886832382	0.686263605	0.784032244	0.826755012	0.762805996	0.770959244	0.800218865	0.628480565	1	0.771774756	0.803790893	0.829501771	0.964239845	0.645063827	0.747255163	0.906360415	0.89395417	0.885412528	0.760698285	0.752434464	0.910715952	0.815355382	0.766148166	0.703721275	0.903633069	0.646654906	0.616430175	0.952911271	0.653565273	0.721141846	0.803694618	0.54419414
S2198	0.802941952	0.689964527	0.86770313	0.812964123	0.695575965	0.971726746	0.680225172	0.862918608	0.735575389	0.943856264	0.724683058	0.671879116	0.815242543	0.712088705	0.895400895	0.840060679	0.756335759	0.762134901	0.785063395	0.804869202	0.730227418	0.890181523	0.841222779	0.798539422	0.822105141	0.857892962	0.789150488	0.828160822	0.818882555	0.706763044	0.875733471	0.818123641	0.634211815	0.902508599	0.870412835	0.920535499	0.85297826	0.822122477	0.772822782
S8006	0.701794985	0.541292726	0.868589912	0.71026196	0.622868864	1	0.552418131	0.863731287	0.68875829	0.932200565	0.772747595	0.722563702	0.76787234	0.783039247	0.864326511	0.845937186	0.727594898	0.818135052	0.750910568	0.719771798	0.561556778	0.802997551	0.826887953	0.930972978	0.90537415	0.751385476	0.783558855	0.649704209	0.854846515	0.659319195	0.877863012	0.716686035	0.514416371	0.870600046	0.772896823	0.791886465	0.841455003	0.850842798	0.718666847
S7259	0.618155435	0.580783643	0.729242918	0.636815073	0.46806974	0.787207388	0.61995972	0.902742417	0.636692217	0.702336504	0.683507343	0.489196389	0.757549397	0.608201669	0.573532165	0.982461806	0.594693522	0.670081911	0.603391474	0.679638921	0.664313814	0.811429487	0.730119713	0.724358651	0.806362151	0.834090382	0.697091025	0.981521111	0.728876201	0.724008046	0.713041531	0.820035824	0.575311059	0.661840454	1	0.600483542	0.787764316	0.727943093	0.580577887
S7816	0.586211658	0.540966126	0.691120607	0.538349971	0.465537426	0.746646702	0.617848626	0.784846758	0.499016352	0.690667912	0.610819426	0.534419083	0.685264113	0.573934221	0.543577588	0.652514017	0.612595273	0.561776769	0.628827123	0.606847208	0.476434462	0.751918015	0.654081814	0.657656819	0.672679689	0.749659788	0.672964068	0.687480031	0.569467245	0.452903406	0.659219426	0.584657637	0.430496571	0.551989138	0.669976447	0.764943644	0.702537583	0.668018803	0.618754299
S2692	0.667215501	0.508860535	0.981405752	0.828913744	0.274079469	0.814983956	0.555683935	0.858483047	0.623694769	0.89693001	0.63411183	0.479835798	0.975229833	0.705959366	0.88798403	0.753298791	0.742151377	0.715362345	0.557387914	0.768309602	0.798886621	1	0.856279011	0.835035225	0.60444302	0.930932506	0.783662462	0.845323194	0.804690872	0.78494475	0.765309316	0.883888858	0.50133178	0.66691943	0.892942241	0.786767365	0.742199011	0.719284034	0.690789061
S7233	0.768444478	0.736230966	0.908388954	0.76347145	0.6916951	0.926868487	0.721071113	1	0.748125851	0.939523084	0.888874656	0.67037049	0.906769796	0.740303186	0.930341184	0.84276317	0.865662816	0.715248601	0.739073895	0.843903803	0.915662156	0.920676676	0.919627734	0.944226258	0.847368806	0.952312539	0.817861434	0.894457502	0.840094278	0.78664928	0.831024339	0.846864964	0.816087214	0.664117582	0.972082318	0.8245858	0.846101025	0.856416833	0.943073515
S7767	0.522007041	0.421541738	0.781108201	0.688099697	0.496278237	0.948143292	0.422574447	0.808187217	0.513668564	0.813158672	0.588935627	0.510407633	0.92918387	0.534088283	0.687126001	0.723721885	0.501214374	0.57004441	0.640582144	0.696621967	0.572365315	0.873755737	0.837818893	0.825807002	0.584826214	0.945826149	0.759104478	0.691016134	0.945626785	0.532526031	0.663385522	0.617334538	0.381103082	0.552495455	1	0.850205967	0.908622313	0.687501381	0.468056838
S2686	0.758453751	0.732047795	0.838231388	0.735677956	0.696746145	0.926786525	0.651771393	0.913748192	0.749340515	0.944071585	0.753149486	0.66249748	0.987848709	0.702118301	0.731565776	0.853423934	0.787833042	0.711431621	0.810406896	0.806949722	0.719543431	0.900578651	0.878629492	0.86777305	0.85078705	1	0.752121614	0.952953471	0.747613457	0.763891742	0.883105042	0.867741361	0.672158671	0.708662327	0.981136719	0.951305279	0.779759372	0.79369155	0.749847025
S4900	0.605580578	0.644016056	0.712193467	0.658307741	0.538257429	0.890793542	0.590736578	0.914166621	0.622690613	0.801577041	0.626052171	0.587045857	0.839284455	0.634277257	0.64523148	0.719877388	0.593204551	0.605735263	0.677022108	0.747238479	0.53815694	0.826747534	0.743032099	0.680372458	0.659114666	0.869349818	0.735956442	0.761737378	0.762410342	0.418020543	0.71196562	0.643274114	0.495498604	0.804135809	0.758253108	0.975404702	0.880080341	0.668952308	0.626960655
S2693	0.666141846	0.723058818	0.916911291	0.635756334	0.630894171	0.893463837	0.651384761	0.970280472	0.736385313	0.823974956	0.71651528	0.550253158	0.695882579	0.631140353	0.660974158	1	0.855497961	0.569620639	0.615858888	0.778056245	0.648734264	0.866847371	0.818274587	0.799263932	0.590926601	0.933588861	0.666343524	0.829294254	0.827154393	0.858201137	0.762281061	0.74754106	0.726158796	0.611725113	0.823058782	0.879388385	0.783217267	0.659654299	0.619286455
S8495	0.44640271	0.489211909	0.707841606	0.271377743	0.56516729	0.64672089	0.492376026	0.79428643	0.246435998	0.682544036	0.579480421	0.420297813	0.828295846	0.608006757	0.62322214	0.590043595	0.744855207	0.47031127	0.453471673	0.58500432	0.806561001	0.636894965	0.641435852	0.842368284	0.231325143	0.89876349	0.797563311	0.779598154	0.74702223	0.587407555	0.543304551	0.606681689	0.454852517	0.604315038	0.912861058	1	0.931495663	0.891584639	0.692518691
S7958	0.689436189	0.50353366	0.771042447	0.286326697	0.889469115	0.867317851	0.537071873	0.856384688	0.178290753	0.922848801	0.797710175	0.640767328	0.927405183	0.782106371	0.873907892	0.810690159	0.798570212	0.792386461	0.519082042	0.866711902	0.892414402	0.663619113	0.791600954	0.986884936	0.154922579	0.77474298	0.881744622	0.716262015	0.74723264	0.562776502	0.762850602	0.815903461	0.500991021	0.856580047	0.773532006	0.870245202	0.919384865	1	0.876804732
S7119	0.882333506	0.742107671	0.843285648	0.889818931	0.831280614	0.863868733	0.725945274	0.864242231	0.951800649	0.933244696	0.803746116	0.688623667	0.979601237	0.909511241	0.899827209	0.799864475	0.845415597	0.800261492	0.78687908	0.771082656	0.854212136	0.933611361	0.873294337	0.890281811	0.812511079	1	0.941731235	0.964404394	0.818506778	0.785538364	0.873699907	0.914936612	0.804914185	0.794800087	1	0.919589735	0.920779485	0.852501283	0.837693455
S1848	0.68929368	0.802672241	0.654226783	0.758370445	0.676068522	0.912648421	0.569652216	0.896861835	0.724333511	0.814571394	0.858730876	0.778772871	0.835674306	0.744122607	0.698884932	0.894557345	0.593594698	0.808480446	0.836621745	0.699699884	0.888373961	0.894119472	0.902100112	0.879455558	0.935627231	0.94969471	0.635074047	0.97725857	0.945261811	0.696403043	0.691776741	0.747265066	0.820238925	0.709465086	0.885503662	0.594490614	0.931661963	1	0.775698604
