anno	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16
Class1	51.6312	60.6529	39.1751	51.5661	66.0948	76.4655	59.0936	48.6498	29.6802	49.452	62.094	39.2559	36.7071	50.0575	41.8584	49.4038	30.1029	67.1629	23.2729	22.2707	36.8353	21.9173	34.1185	57.2253	30.1126	53.0707	59.6284	28.7145	27.3362	15.6511	15.9471	19.5173	36.9431	17.6803	35.8486	19.6612	24.1726	17.066	23.8478	32.5793
Class1	5.81973	15.6157	10.0356	6.5998	6.97651	20.7506	10.5247	5.57873	2.32603	7.07549	5.58834	3.84535	9.23763	7.79888	7.8286	1.91799	2.42607	9.02292	10.4412	5.41601	6.20608	2.77128	4.28531	9.31744	2.30991	6.25957	13.2292	7.14385	4.52447	6.07462	5.18526	3.57384	4.54787	4.3903	6.44778	7.68604	8.37878	5.60596	14.9817	5.86155
Class1	22.1679	17.8718	33.9824	35.8659	30.2575	30.8041	17.6185	9.59094	8.47138	6.08387	6.0243	7.21963	17.8148	4.04503	6.84601	8.39392	13.0952	8.23593	20.0428	16.5738	8.76401	11.2981	11.1661	24.5868	13.0411	22.0826	18.9035	20.9459	25.0231	4.10091	13.2018	17.8723	23.421	7.83787	17.6463	17.8711	3.02056	24.0669	7.79972	24.8722
Class1	11.8704	9.61149	10.6779	12.2264	4.75966	7.11032	3.47897	3.44232	4.57246	8.67819	4.02549	4.24812	6.29931	7.71633	8.45331	2.54955	2.76865	12.0583	3.89288	1.85644	5.38834	1.43591	4.08468	5.26896	2.35734	11.3397	3.93028	7.1645	1.72152	4.10734	6.03839	3.91664	1.87764	2.0561	3.36697	1.4284	1.17552	1.74953	6.74651	5.62851
Class1	4.17312	2.42554	2.46585	7.24382	5.35823	7.63817	8.74627	1.10662	3.14782	3.38719	1.40158	1.47695	1.15546	2.83727	2.50641	2.7245	2.65606	4.08114	4.49395	3.00538	2.75573	4.83469	4.38908	4.60099	2.12632	2.12518	6.04696	3.54972	1.71414	4.53955	1.51834	3.22957	2.25637	2.3591	2.42805	2.02631	2.2973	5.75201	2.53191	7.76938
Class1	2.00457	6.00526	3.26659	5.84695	3.15832	2.43223	1.63661	2.73216	2.24897	4.109	3.45735	2.65601	1.47591	4.37356	3.31381	1.23434	2.72102	1.45638	0.605101	1.95636	2.28931	5.51055	2.38965	0.962122	0.527429	1.33199	0.383534	4.94855	0.581005	2.36731	0.902021	1.12259	0.959674	2.43339	1.91317	1.1888	1.35723	0.658659	1.95437	1.5055
Class1	18.5352	9.06883	13.446	19.8328	17.1189	32.4784	12.4667	14.5346	7.88075	14.3667	12.0115	10.6533	10.3109	8.84974	10.5456	22.3662	10.4594	18.5793	10.7513	12.9079	10.3291	8.29184	6.20831	9.25561	15.1343	12.4096	14.0412	8.75077	8.03684	6.23454	9.0798	10.0631	11.2377	4.6096	7.46951	11.6128	6.73438	16.2006	14.7095	8.02808
Class1	4.93921	3.14754	5.12087	1.84056	6.25742	6.03229	5.99376	3.44822	1.24765	4.58043	2.17213	3.90963	3.86639	3.95708	3.49797	1.47312	2.33208	4.43872	0.865653	1.99284	2.52288	0.921224	1.34078	1.54871	1.70263	2.82553	0.053247	6.46644	1.97271	2.9075	2.11071	2.49872	1.29278	1.07595	3.08762	2.22743	1.58106	0.421061	1.64354	3.41283
Class1	1.02463	1.16232	2.64049	0.74083	1.04988	0.42643	2.79512	0.290631	1.67378	0.145287	0.476094	0.289958	0.239996	0.212191	1.03796	1.10051	0.592395	0.206692	1.42086	1.94483	0.594681	0.628524	0.502967	0.45387	0.717511	0.442494	3.07854	1.52014	0.264242	0.189015	0.327169	0.28987	0.451295	0.529498	0.825843	0.268118	0.399577	0.156278	0.252374	0.529573
Class1	373.992	321.691	297.817	341.536	295.476	508.029	367.558	160.694	351.77	372.934	147.949	149.313	334.496	306.937	218.426	150.953	313.26	449.884	248.447	174.115	219.429	130.69	372.089	456.077	372.704	444.827	441.193	135.339	100.091	111.832	94.3226	92.204	158.74	160.436	212.664	136.771	101.625	179.102	185.039	245.78
Class1	72.5169	22.7785	53.169	114.527	14.8865	55.2584	44.7996	3.57189	28.7182	24.7567	3.01413	4.68328	37.3913	15.0147	53.2872	44.0685	39.5081	47.5621	23.3772	10.8522	38.8884	19.3384	35.745	11.1852	10.5616	23.7881	18.8482	24.5781	50.2915	43.8667	8.0059	8.16007	14.5542	29.5612	4.15352	22.6044	9.62088	18.5672	14.2798	34.0013
Class1	13.3441	8.7282	7.94001	7.37353	5.17299	10.1117	7.41725	2.53671	7.25423	6.63611	2.83668	1.99019	2.89924	5.12222	4.41044	14.2514	2.14287	3.2498	8.57287	10.1007	6.14571	3.51542	3.3071	7.92825	3.0683	4.93943	8.90202	4.6667	7.46946	4.70181	2.9114	6.38448	15.4441	3.60353	6.18172	4.52474	2.91365	6.42588	2.55917	1.42104
