TF	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16
CTCF (787g)	0.748573837	0.734528856	0.730414309	0.731585553	0.72935188	0.724435379	0.730215591	0.764174681	0.743410933	0.741935741	0.76131653	0.772828282	0.751529869	0.735852299	0.761732072	0.747100348	0.747183349	0.742845703	0.681139141	0.689097094	0.759513457	0.718452506	0.754445386	0.751443731	0.758799704	0.739989524	0.71894083	0.677299231	0.692304369	0.681020287	0.67508232	0.684113816	0.693482246	0.728075675	0.700491336	0.703248112	0.69174371	0.676802212	0.698566989	0.711270691
TGIF1 (10g)	0.554677469	0.584578942	0.555810361	0.575193107	0.585073295	0.598599334	0.632538021	0.715458821	0.617075766	0.642761509	0.72275739	0.711126369	0.523849085	0.696233994	0.604023482	0.620749082	0.632380102	0.668852346	0.62250678	0.586686807	0.580081706	0.546891414	0.550173367	0.588966322	0.573888565	0.545243572	0.585505853	0.589220365	0.597356586	0.538748326	0.521267465	0.48550242	0.639287308	0.527639123	0.554890315	0.584050259	0.686024237	0.634460503	0.601332006	0.621064918
HOXB5 (20g)	0.244987809	0.347127305	0.215024554	0.107201484	0.226628662	0.357117346	0.109770253	0.473484666	0.308200831	0.335512895	0.516638621	0.499845462	0.350819053	0.339015763	0.342374395	0.315031423	0.373838387	0.337144133	0.336584361	0.215941482	0.338995158	0.299965658	0.305340156	0.133692778	0.264861431	0.245877262	0.352014149	0.247010543	0.282252138	0.32905663	0.226820976	0.153023799	0.324101102	0.360448504	0.260039837	0.109251691	0.419111233	0.261382602	0.271369209	0.340046018
NR2C1 (11g)	0.761335547	0.784849317	0.759544081	0.666344161	0.781228933	0.745955157	0.772845872	0.810429203	0.747159871	0.780248933	0.823912012	0.799661681	0.778295174	0.766934658	0.783569699	0.784131482	0.778151607	0.791078874	0.671924546	0.695800355	0.77559237	0.732765724	0.783519762	0.788912886	0.76984345	0.756916182	0.763613892	0.714414122	0.667180595	0.704963671	0.707760106	0.638429752	0.683303788	0.721973234	0.715344186	0.751385733	0.763370453	0.644409628	0.652012434	0.701880103
FOXA1 (61g)	0.570938087	0.542501288	0.585867971	0.521240214	0.557188748	0.53633472	0.556338576	0.620894169	0.553807227	0.579798372	0.649995095	0.632681572	0.583825979	0.625015363	0.563046368	0.607691692	0.572452386	0.582266578	0.554515328	0.514769208	0.563006904	0.512894093	0.52068095	0.544075347	0.491416529	0.555843582	0.521283061	0.564511055	0.549557493	0.581105201	0.576246591	0.499045529	0.546412758	0.531204369	0.587502918	0.538823222	0.633523852	0.569336967	0.577074212	0.611385544
GATA3 (17g)	0.486828232	0.441016898	0.398566679	0.477581129	0.526587944	0.476514622	0.555359401	0.564541866	0.563002703	0.52889467	0.561932156	0.528842153	0.566012354	0.687190198	0.555201849	0.695815171	0.681558716	0.571126741	0.504914417	0.478538562	0.493974638	0.369136735	0.40399213	0.358863523	0.364551562	0.391775775	0.469909549	0.514581658	0.435639925	0.636240239	0.436391327	0.412588825	0.465942465	0.516027907	0.483188372	0.502587492	0.61216303	0.546294089	0.691710734	0.610664264
HOXB3 (20g)	0.264851128	0.353295099	0.228888355	0.119186785	0.240780933	0.395178406	0.142037845	0.493849377	0.350746935	0.393869982	0.523129228	0.531869226	0.36892407	0.387599162	0.39869501	0.40616436	0.403671143	0.414492256	0.424932175	0.282303651	0.400813902	0.353504585	0.340083794	0.164596999	0.303056424	0.263329785	0.455657818	0.242055016	0.304406058	0.329169958	0.249871218	0.179257529	0.391095161	0.421240427	0.293825337	0.12371304	0.496589855	0.315714825	0.326134139	0.360300835
MEF2D (13g)	0.546849497	0.642962407	0.538704515	0.547393553	0.539111236	0.56098437	0.547731606	0.591847622	0.536702602	0.6058927	0.622256614	0.599168599	0.582725453	0.666647299	0.56917161	0.505268885	0.627971836	0.623614112	0.552342871	0.459483729	0.549860289	0.506356995	0.525383084	0.563451106	0.455854933	0.556315003	0.467887534	0.515790808	0.522689218	0.586502147	0.509246299	0.546770266	0.498291244	0.510878464	0.55557551	0.466725474	0.57584289	0.613076342	0.566129126	0.550594499
HOXB8 (41g)	0.234348518	0.270961545	0.235850591	0.172322631	0.24103073	0.279068715	0.186211776	0.480395099	0.259937402	0.24074071	0.508406411	0.503551497	0.277157595	0.282098007	0.272862606	0.314137758	0.284862425	0.247339101	0.279107272	0.249969405	0.271893634	0.262624705	0.257991078	0.183618353	0.260991871	0.237407985	0.305769066	0.245598977	0.264567676	0.254831025	0.221726747	0.212033683	0.285930304	0.288372849	0.257476417	0.202131066	0.364495758	0.228995707	0.250313072	0.268000986
GRHL2 (329g)	0.501015246	0.512634185	0.484313641	0.491534833	0.486739977	0.4825986	0.510372222	0.587094569	0.490983479	0.523767182	0.60101493	0.588972294	0.507794596	0.546058919	0.53064486	0.551262279	0.523290524	0.531880078	0.553657597	0.520094445	0.520336678	0.489795738	0.501212113	0.495932158	0.480909723	0.506956488	0.569769446	0.496112777	0.504898143	0.511223834	0.512344688	0.46477804	0.506163534	0.507348955	0.516221466	0.496315763	0.567251957	0.509744485	0.553941398	0.503500874
