ENO2	7.40156	1.09634	5.73261	5.44982	13.0786	5.68505	11.3833	3.90144	4.24129	12.1649	5.37673	3.42729	3.37878	9.05251	4.9848	9.91097	3.57553	14.2623	8.85927	9.41772	3.71985	5.63761	4.32269	4.85165	10.4754	1.56518	4.89096	30.3568	19.2076	3.68789	13.3135	17.4165	8.50004	36.754	2.95181	13.3293	13.9141	9.5178	7.1673	4.12868
ALDOC	5.1715	2.82441	5.33484	0.187451	4.69138	5.73566	7.7892	4.65673	2.61614	8.87081	14.6187	5.54474	4.37065	3.27453	5.72554	2.155	6.5563	8.52832	15.0568	8.98677	4.40773	13.2303	10.0214	6.80091	0.477229	6.27404	14.0524	24.3113	56.4979	4.3171	27.2222	17.9475	33.341	32.3169	4.06999	7.84512	10.9059	6.84878	3.12881	3.57108
PGAM1	24.0658	24.9461	18.3776	13.5253	23.0367	27.4942	20.7834	16.6626	31.063	27.2297	15.5787	14.5748	34.3792	18.5005	24.213	19.1194	28.3024	25.5348	37.1792	33.4208	22.3381	30.3988	24.8926	27.1257	16.8304	20.1319	29.0653	26.0673	49.7657	19.8311	30.4522	52.3397	36.2321	77.1339	25.4376	33.9825	24.6375	38.8926	31.3776	47.6999
TKT	84.51	26.5282	86.0696	152.52	87.9943	124.839	100.259	60.1392	87.1571	71.4071	41.9615	53.702	67.316	51.4758	63.3442	51.8269	60.6857	51.6702	131.443	102.127	75.7872	88.4209	88.7786	75.1509	81.2401	59.9523	85.1917	149.229	298.1	111.547	85.9356	74.4354	95.7403	125.362	74.8292	164.242	58.7314	160.33	112.825	122.774
GPC1	12.7613	3.52427	5.20296	21.6926	9.23138	7.22973	11.6929	7.96135	9.72026	4.22373	9.777	7.37232	6.84309	5.95415	10.2972	10.1574	12.2153	5.10324	15.3728	17.2867	8.78843	7.69207	6.72223	13.5384	14.4548	2.32605	4.48906	8.54806	7.52559	13.8456	5.02334	18.0406	18.4657	20.3675	10.6544	15.408	10.2604	35.8124	22.4388	14.7175
SDC3	3.3741	1.62519	2.40989	3.32659	1.28023	5.63145	3.89048	0.826769	2.62308	1.17226	0.592495	0.61636	3.46259	2.26732	3.54042	1.95236	1.90716	1.29708	3.88492	3.04515	3.21197	3.03539	2.57292	2.33189	2.54125	1.4218	0.450743	1.53205	2.30419	3.9256	1.67209	2.78209	2.35165	6.78305	2.73729	3.5487	2.36785	7.36034	5.11408	5.76738
G6PD	10.5854	5.5544	8.88006	60.0658	13.5317	13.9238	13.8835	10.8908	10.3565	18.7729	8.6373	12.2107	8.73214	11.891	7.55835	20.1968	12.2464	10.7733	10.8759	15.8834	8.43528	10.413	7.63496	11.5924	23.6072	6.15308	6.78788	16.1113	39.6235	10.7103	5.67657	13.285	18.9046	10.7733	13.2542	28.8364	42.7424	19.9938	24.8124	19.3748
PGAM4	2.09621	1.87863	1.70625	1.25304	1.38549	2.38483	2.86153	0.878585	2.02581	2.40991	0.520125	0.797756	3.15936	0.998468	2.21327	1.36961	2.02448	1.49355	4.39385	2.53696	1.75622	1.84976	1.72357	2.36166	1.39115	1.32566	2.52271	2.65003	4.67916	0.968227	3.77305	6.33191	3.26927	8.1633	2.15122	2.17506	3.17419	2.1092	4.71471	4.93104
IDS	5.94625	3.91382	7.10221	7.56325	14.6889	6.76564	13.9181	10.108	9.74769	13.7354	7.65245	6.01072	4.16212	20.2572	10.4889	15.78	10.3845	13.4059	9.46917	9.01637	6.27255	4.46265	4.53415	5.80154	7.59663	4.50586	8.07982	20.5464	9.41457	8.20685	7.47986	13.7365	18.2706	12.9595	7.34718	9.25216	24.8818	15.1886	17.9934	33.1324
CHPF	10.5083	7.63098	9.86963	13.8834	10.8963	9.34187	20.724	12.849	12.1191	5.26901	19.8022	18.8902	6.78864	9.95805	11.7	11.8725	12.3731	10.6405	20.1989	18.4557	10.8273	32.5251	12.9548	17.6324	13.1571	12.5868	10.2295	15.764	20.9194	29.488	19.2036	47.7908	26.9595	26.4429	24.8502	18.477	18.5761	24.1865	26.6437	40.8992
