FC	opennes
0.279702871	501.4241478
1.607432053	33.78371318
1.57060325	40.70070947
0.281452707	16.49183694
0.191380472	16.08426657
2.21008398	16.49142016
0.430350279	25.0178392
5.072632002	0.772110141
5.472859287	3.360336509
0.087623848	11.53575878
0.530536868	39.24004996
0.163830971	8.167587793
4.954251338	0.824192437
0.556990512	4.276814735
1.067081814	283.666942
0.748137537	82.84267863
0.642718538	61.14495006
0.877334335	54.28205454
0.910014395	52.20303661
1.041148118	52.20303661
1.041148118	52.20303661
1.408931651	51.05668929
0.774423333	48.35492507
0.871801071	46.82613566
1.231263755	45.50269051
1.289473892	42.30089476
1.051104328	40.70070947
0.738118374	37.958468
0.83613123	37.77042775
1.127163541	35.43940062
0.91476149	30.18384711
1.048025792	30.18384711
1.048025792	30.18384711
0.885205433	29.32190414
0.992498814	27.77618432
0.992498814	27.77618432
0.949867964	27.61753942
1.134991283	27.61753942
1.13572349	27.02070556
1.118300095	26.47863135
0.749648576	26.35509947
1.272389364	24.17725703
0.695719122	22.7418153
0.695719122	22.7418153
0.975583243	22.37231748
1.379993391	22.37231748
1.013700175	20.28422923
0.90883219	19.78319054
0.987606408	19.45755901
1.128473882	18.78376169
1.127492424	18.71368418
0.692633544	18.4144545
0.720038614	18.4144545
0.859836837	17.5143028
1.101061309	17.41817119
1.271958441	17.33508025
1.377928648	16.49142016
0.887342148	15.96547285
0.400127113	15.88817065
1.052936783	15.88817065
0.831325489	15.85041602
0.374569553	15.66280545
0.327401883	15.61806209
1.261194778	15.60160754
1.195031618	15.59596853
1.203143878	15.18579597
0.751149772	15.18374351
0.448530746	15.13960261
1.015190956	15.13960261
1.584748295	15.08959878
0.975079443	14.80794335
1.046348792	14.74701392
1.80233689	14.66390688
0.936289961	14.5733287
1.384001663	14.5469
0.655340084	14.54349029
0.973293242	14.32755522
1.38614008	13.8998693
0.611976581	13.80920957
0.213725743	13.79839726
1.949028994	13.4633275
1.602966075	13.40458855
0.671774128	13.38955614
1.144116346	13.37881207
1.226453287	13.30159854
0.721611562	13.28536393
0.968793007	13.17170541
1.453746763	13.08221349
1.289541445	12.99908886
0.954530003	12.96608757
1.439902802	12.69996154
0.683397317	12.4948668
0.743000949	12.4948668
1.828058758	12.4948668
0.158189105	12.48078973
1.946126568	12.45686386
1.367500553	12.40933064
0.662218851	12.28648343
0.748291191	12.28648343
0.976706507	12.28648343
1.217070683	12.25646495
0.638072987	12.01943784
1.194978676	11.95610308
0.394659327	11.94059647
1.393536353	11.94059647
0.443014924	11.8504941
0.732417997	11.82424996
1.632724287	11.76659091
2.797876684	11.6349247
0.91149457	11.62526846
0.128672684	11.53575878
0.1775537	11.53575878
0.869138445	11.53575878
1.077819844	11.42138153
1.584500904	11.34038268
1.378759563	11.32563477
1.378759563	11.32563477
0.489736203	11.30921681
0.702008179	11.23666758
1.134065808	10.97363401
0.324953862	10.92501882
0.859559171	10.87045478
1.154046555	10.87045478
0.905390497	10.84805864
0.960451714	10.84805864
0.960451714	10.84805864
1.270128848	10.84805864
1.253280287	10.83855467
0.51388754	10.83015851
0.51388754	10.83015851
0.658924811	10.80853131
1.505520156	10.80853131
0.309572123	10.79987339
0.222214433	10.78044647
0.289201475	10.72936853
0.356297415	10.72936853
0.519218514	10.70612721
0.634279164	10.667418
1.573970688	10.63668045
0.233665682	10.63366794
1.145431356	10.5970393
1.338060988	10.58157849
0.26679182	10.50824641
1.214633184	10.48475749
1.512652917	10.47541814
0.795396992	10.45280318
1.020597432	10.45280318
1.020597432	10.45280318
0.680063257	10.4302188
0.437302103	10.40385764
0.616280172	10.38105704
0.652965977	10.27951251
0.53497574	10.25085652
1.339731696	10.24489736
0.948209821	10.17914251
0.908761425	10.16831664
0.908761425	10.16831664
0.651923254	10.14570979
0.652244867	10.1151509
0.804449013	10.10978188
0.65887981	10.10769991
1.092031342	10.10769991
1.092031342	10.10769991
0.516243066	10.09403181
0.625867344	10.09403181
1.156209479	10.09403181
0.953050506	10.0594296
1.527880499	10.058994
0.497125885	10.05278422
1.624589259	9.993302346
1.248195677	9.976564979
1.609922942	9.888119199
0.713688711	9.869974849
0.463181854	9.863290511
0.677134654	9.857044509
0.677134654	9.857044509
0.677134654	9.857044509
1.595308843	9.849692348
1.595308843	9.849692348
0.690668703	9.847202909
1.497872372	9.828717071
1.432233334	9.732432737
0.789259481	9.725664153
0.92841669	9.676748535
0.668033112	9.675371531
0.485653813	9.650032615
0.45911135	9.648181921
0.496399205	9.642769474
1.230710603	9.576476695
0.952717691	9.563781401
1.175666764	9.546894845
1.670624687	9.504187664
1.263460348	9.497094551
0.332689527	9.429865581
1.692172617	9.402989139
1.678886244	9.33587952
1.106652979	9.308677357
0.222586314	9.266344389
0.680863513	9.249564675
0.714923336	9.244317018
1.352018855	9.21350982
0.349721137	9.197899106
0.757733912	9.179983301
1.694442837	9.174172966
0.179465228	9.173774439
1.404413085	9.168982765
0.424917518	9.148644807
0.424917518	9.148644807
1.418281822	9.121832461
1.264443425	9.079786547
1.324207872	9.05784038
0.618524108	9.043815109
1.257772672	9.036229509
0.609784652	9.033669538
0.964827528	9.028173127
0.861638673	9.013358272
0.706673215	9.005210523
0.824086157	8.999716069
0.943323826	8.989886675
1.300855755	8.883038757
1.068418217	8.868714708
0.803796607	8.852372634
0.234138849	8.849965494
0.956820339	8.84742885
0.956820339	8.84742885
0.88983375	8.845463876
0.630722504	8.75047115
0.86882574	8.744592332
0.484544012	8.743281218
2.158529789	8.738152541
0.468697458	8.734855664
1.521145134	8.732916358
0.979206134	8.704125266
0.592121653	8.684309415
1.464343718	8.666538455
0.9089988	8.646349014
1.688666625	8.646349014
0.715051515	8.629899872
0.492766515	8.600814348
0.600732472	8.600814348
1.245606632	8.597914202
0.940951959	8.593992812
0.576576206	8.585840957
0.653824287	8.564577257
1.077477885	8.557361688
0.28794393	8.550203416
0.892411351	8.543912392
1.168898033	8.503237604
0.591673378	8.486850947
1.344852577	8.486850947
1.055353635	8.478100648
0.657360974	8.476786336
0.776985732	8.463490387
0.642731148	8.460528881
0.984072966	8.458269932
1.29543437	8.457956285
0.581191473	8.438780063
1.11749202	8.438701083
0.47317933	8.414436314
0.417538993	8.411195911
0.91178034	8.411195911
0.84433514	8.404539924
1.217525423	8.39164121
1.212011498	8.379335285
1.298869948	8.351536277
0.627915933	8.299262382
1.153165375	8.291153308
0.556567797	8.280539867
1.999773308	8.271183632
1.667163677	8.26736466
0.940874797	8.262764297
0.792442678	8.245136963
0.491221613	8.244616864
1.257823993	8.244616864
0.686937945	8.236660498
0.74113796	8.236660498
0.879005603	8.236660498
0.548857946	8.224612717
1.196035602	8.22012774
0.490068702	8.210594909
0.288655048	8.205187096
1.452593582	8.205187096
0.506904519	8.196982228
0.586103609	8.189740651
0.614135843	8.170134948
0.79613337	8.148956455
0.675164693	8.141825426
1.372011779	8.127354542
1.372011779	8.127354542
0.556881349	8.118082051
0.773749829	8.100779982
1.559536441	8.057231199
0.909663607	8.024140464
0.980341363	8.024140464
0.515277675	8.017710541
1.750082257	8.01587017
0.632529538	7.991443345
0.657271585	7.977772136
0.787348204	7.970024317
