genes	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-11	CAS-DAC-12	CAS-DAC-13	CAS-DAC-14	CAS-DAC-15	CAS-DAC-16	CAS-DAC-18	CAS-DAC-19	CAS-DAC-2	CAS-DAC-20	CAS-DAC-21	CAS-DAC-22	CAS-DAC-23	CAS-DAC-24	CAS-DAC-25	CAS-DAC-26	CAS-DAC-27	CAS-DAC-28	CAS-DAC-29	CAS-DAC-3	CAS-DAC-30	CAS-DAC-31	CAS-DAC-32	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-36	CAS-DAC-37	CAS-DAC-38	CAS-DAC-39	CAS-DAC-4	CAS-DAC-41	CAS-DAC-42	CAS-NEN-1	CAS-NEN-2	CAS-ACC-1	CAS-DAC-5	CAS-DAC-6	CAS-DAC-7	CAS-NEN-3	CAS-DAC-8	CAS-DAC-9	NPC-4	NPC-5	NPC-7	CAS-DAC-65
CHGB	0	0	0.235932	0.0429497	0	0.010368	0.0133089	0	0.0295361	0	0.372611	0	0.194853	1.71176	0	0	0.0645508	0.184022	0.0258516	0	0	0.0385635	0.0133836	0.129847	0	0.200049	0.140125	0.0145389	0.157576	0.172429	0.203661	0	0.0805245	0	0.0135559	0.712873	1.10445	4.41395	1.04249	0	0.0238805	7952.53	0.333412	0.293912	0.394368	0.368169	0.282787	35.4249
CHGA	0.289268	0.222947	6.72253	0.611533	0.946956	0.323452	0.25082	0.676558	0.425975	0.143138	0.0486142	0.911208	0.39864	0.10804	0.278076	0.588773	0.172727	0.569869	0.34166	0.299641	2.33889	0.415275	0.772318	0.394877	0.531126	0.201077	0.20191	0.459042	0.370283	0.44537	0.381716	0.270343	9.11582	0.376604	0.373421	2.46828	2.14941	0.994112	49.6792	0.0984606	0.801347	7393.18	0.186298	27.8781	0.375169	0.115113	0.162944	392.218
S100A6	1969.57	2961.44	1996.69	2306.6	3604.32	856.137	989.181	2156.35	1920.49	1357.88	1325.32	1033.28	5197.69	1400.34	2075.11	2447.1	2679.98	1331.69	2235.85	1823.07	1821	3193.24	2957.49	3100.43	2840.62	1361.67	1744.5	1809.49	1254.93	1180.69	1008.02	1575.12	799.654	2011.53	1114.28	1172.49	0	113.304	1846.3	1033.81	2437.89	217.888	3060.18	1851	1394.94	1577.04	482.677	241.646
PAM	13.9419	48.3551	33.9279	31.2217	48.9112	30.4298	39.9389	41.2228	19.8603	35.056	46.5977	11.4357	40.2923	25.5546	26.2338	26.7821	31.5831	40.1087	27.4742	23.2167	28.0391	38.3175	20.1951	41.5311	47.9854	44.743	26.1394	44.7538	23.9825	19.0203	21.0122	39.2134	21.5253	40.0044	33.8845	67.1594	14.6554	7.53506	62.7283	37.851	43.1557	6573.49	54.608	40.8497	41.819	66.9537	31.6922	477.42
TFF2	642.256	264.597	396.744	249.88	207.991	28.6655	992.966	427.67	855.756	816.236	479.283	261.286	115.189	108.788	266.148	1150.05	438.632	571.343	322.854	16.0252	2429.52	188.749	109.094	794.423	489.746	674.59	1386.31	902.369	91.3107	834.401	190.41	104.913	3650.05	771.624	1.69281	15.3107	0	39.6542	316.352	510.262	3854.63	0	1966.63	1225.88	267.74	73.3165	1.96245	0
NOG	0	0.0153434	0.0896406	0.231007	0.264644	0	0.0288526	0	0.0315259	0.118326	0	0	0.0327917	0	0.0183744	0	0	0	0	0.0136786	0.051181	0.27615	0.0899876	0.0141265	0.0183434	0.0425	0	0.0976388	0	0	0	0.0422141	0.0154672	0.0182399	0.0182574	0.0154334	5301.37	0.0327261	0.0307313	0.464182	0	0	0.0289302	0.0912552	0.0378106	0.089298	0	0
SPINK4	71.6919	1012.35	836.534	566.611	122.877	92.9118	4.71462	4.68248	379.258	31.8973	98.0536	85.5345	259.79	218.597	20.1637	81.5116	208.435	575.139	815.74	59.0932	1957.17	147.062	4.26373	873.652	116.915	4.76036	1501.39	55.5826	10.4774	112.232	35.4052	10.8331	249.794	190.996	5.47403	0	0	579.018	1420.52	8.77258	38.0635	0	301.907	4348.24	82.4697	59.419	19.9817	14.2385
LYZ	589.534	609.274	1024.95	696.161	113.005	94.9734	335.624	776.6	787.68	413.127	423.375	356.232	322.958	83.1773	234.738	2534.18	111.691	625.022	1124.86	346.339	777.204	591.637	441.108	271.488	1627.26	158.091	314.392	814.091	806.386	814.301	1802.96	527.763	1747.97	568.633	227.11	1129.49	0.0336311	4.95855	1328.62	290.273	2548.34	6.17228	664.963	2610.26	2152.56	1682.73	2018.73	3.74449
SCARNA5	366.932	385.493	382.719	411.733	3432.67	657.729	181.51	1932.83	283.615	209.928	313.404	749.629	1655.21	1788.89	1789.77	1603.28	576.896	1390.25	1259.12	579.836	570.829	1836.97	449.645	1416.63	1051.14	505.002	438.84	1477.91	640.628	447.949	927.202	507.51	351.393	1250.43	1345.57	1187.17	534.639	688.93	659.895	247.468	632.848	196.895	597.033	1266.14	875.557	1012.48	1363.31	405.651
LCN2	1992.74	1836.28	438.128	712.514	350.078	920.365	509.485	834.463	1246.15	536.773	897.445	345.309	478.7	190.922	385.585	616.912	249.695	863.366	534.245	576.105	619.837	474.083	1552.13	381.464	2009.92	2012.17	426.063	365.673	1295.77	882.037	100.233	118.527	445.533	512.338	1536.55	78.76	0.0544535	1.07475	205.483	341.1	1261.7	0	1232.31	255.604	1075.21	1482.71	580.516	0.101057
TFF1	719.82	439.819	698.685	523.051	104.466	5.55619	219.86	359.963	723.545	79.4829	287.426	216.903	119.873	36.7672	217.214	486.506	597.89	292.606	213.274	85.3389	1090.53	552.808	836.36	466.454	1752.89	690.754	597.837	536.445	239.791	483.506	156.96	20.9936	1250.94	279.608	16.3871	2716.26	0	367.838	669.751	119.18	832.636	15.5146	847.271	2076.17	259.19	165.361	1.88106	7.50295
B2M	1193.04	1435.15	1095.4	1378.44	1011.71	1504.87	661.286	1115.22	1046.67	590.802	1315.87	318.787	1362.31	737.343	429.419	777.862	1088.5	833.641	1121.21	2125.43	1215.1	1347.16	1028.52	843.526	749.808	1192.04	747.213	542.081	1604.04	1946.36	758.092	1512.69	922.099	1525.32	1077.36	1408.36	82.6427	2851.93	940.234	705.112	1128.94	315.235	1502.57	807.621	1475.27	2460.87	801.374	964.911
RPS6	3574.9	421.328	215.84	209.454	186.33	130.636	138.653	213.559	388.168	151.687	182.949	137.551	235.728	212.073	116.983	181.914	143.504	214.899	405.25	163.703	221.982	319.02	148.969	389.408	342.46	133.026	535.406	560.292	162.076	300.098	263.556	170.152	260.456	103.577	125.243	294.3	435.559	187.77	366.946	146.875	178.531	137.861	220.282	241.209	141.007	144.73	205.863	139.25
OLFM4	6.34427	0.973489	16.5012	7.60385	0.449153	0.0265368	0.0548327	5.09739	3.65761	0.0563365	0.130466	12.3271	15.8298	5.99475	1.45948	865.478	0.0525644	612.775	1735.9	24.9206	77.6822	28.5834	2.54794	1808.03	345.658	2.47128	1893.86	5.16602	121.059	327.833	47.8493	7.68328	68.4586	0.417739	0.335392	0.019538	0	0.0417008	130.053	0.082673	1.75275	0	0.752863	456.069	30.0899	12.7171	72.2672	0
SCARNA7	979.883	1005.69	598.196	753.374	131.074	1202.01	834.254	204.239	781.062	750.074	615.59	838.556	107.844	126.305	97.5803	93.123	899.381	171.54	85.5652	819.201	1014.49	77.1603	1359.36	90.5622	141.879	1261.02	912.559	106.512	680.229	919.814	868.946	20.0724	848.88	91.0127	135.38	85.4382	36.3484	106.123	957.738	959.047	1040.48	123.345	1226.65	91.1662	106.881	175.06	213.835	23.6527
S100P	446.016	348.223	296.032	215.858	524.91	161.111	37.0543	1522.28	645.878	51.1791	172.276	391.721	602.781	240.829	1070.76	733.767	265.956	350.649	409.45	326.224	316.82	512.652	1602.22	718.758	1994.8	284.017	257.514	574.664	150.035	417.788	105.982	212.252	240.057	520.644	575.843	480.86	0.250841	92.8178	186.801	45.1846	361.093	0.585896	444.77	519.307	1.41989	0.30706	0.0981417	2.0522
RPS21	1011.65	702.63	800.609	676.907	743.898	781.455	499.621	845.178	709.127	446.504	892.518	546.081	1278.6	745.119	498.503	1909.41	493.621	1032.16	1681.29	658.418	689.36	1040.89	490.999	1069.7	1048.98	480.259	1111.53	851.207	746.352	591.308	773.849	958.901	1099.49	527.88	824.437	763.739	705.618	942.827	1606.16	582.189	614.153	208.666	1317.27	1768.27	367.6	483.05	588.681	249.36
KRT8	860.668	946.716	666.841	851.873	528.852	1216.46	574.72	1099.83	645.05	577.307	698.896	498.36	654.201	1469.6	689.209	1370.6	516.258	779.167	596.846	646.564	452.704	1522.18	378.319	547.695	522.462	485.907	430.798	661.194	721.642	343.349	209.108	306.055	765.184	630.598	648.971	283.477	8.77307	1189.96	680.568	559.833	616.181	29.7685	498.053	748.464	1309.09	1526.88	1059.65	177.688
RPS29	562.853	597.896	634.382	580.225	0	731.594	258.959	0	698.434	283.379	469.499	507.08	0	667.237	727.934	1202.64	506.699	1273.29	0	765.671	688.122	0	444.327	0	0	387.017	540.561	0	865.747	777.38	407.748	346.215	604.817	415.867	607.687	557.084	341.529	654.987	1500.64	366.537	655.127	171.178	885.761	0	281.42	289.003	313.068	0
CPE	0.103887	1.19571	9.27318	4.28484	5.03736	0.904813	1.11071	0.2736	0.225758	1.06978	3.23052	1.00118	1.85611	3.40342	0.638376	3.18329	0.741967	1.53449	2.28452	0.63104	1.05656	5.4715	1.37778	0.694092	0.580962	1.23648	0.853123	2.42371	0.0106779	0.866462	0.00966074	0.327808	2.24826	0.296493	0.0128588	122.198	16.9213	152.693	14.067	1.54234	0.294536	2374.29	3.53408	18.5618	2.03626	5.58439	25.0208	775.973
TPT1	1057.29	904.408	971.146	1160.51	750.403	1105.97	545.823	831.818	863.269	496.455	728.329	317.94	851.426	304.708	229.402	783.209	718.41	718.096	965.547	755.144	1042.37	742.218	494.485	1033.76	825.736	633.934	1563.43	583.143	532.212	678.676	1138.51	306.242	1003.46	500.039	1145.28	303.369	336.107	270.98	1729.17	435.039	1183.92	403.291	1122.2	833.568	376.134	395.106	443.247	210.978
SCARNA12	220.512	316.807	281.884	327.563	1422.74	419.988	214.67	769.419	473.616	219.915	372.053	348.095	274.419	1377.34	655.197	1287.67	145.791	684.881	554.468	477.07	492.106	982.462	363.597	552.691	698.015	224.978	330.464	759.021	222.778	255.077	539.283	217.155	412.673	390.539	374.296	280.595	342.878	1511.03	608.658	299.246	574.162	154.63	533.31	442.73	277.116	317.946	372.7	189.975
TFF3	55.2005	51.1482	338.558	190.825	34.8202	6.59531	517.949	20.96	322.001	319.267	105.963	6.68771	19.6776	51.7773	22.4975	387.152	109.65	68.3525	234.397	58.5345	250.654	253.218	7.8214	706.107	613.741	85.8208	750.956	541.757	111.744	127.147	265.433	10.0705	173.938	90.1492	13.626	850.924	0	363.255	422.433	199.256	49.5567	45.6237	297.177	1811.03	476.715	228.243	1.42329	172.671
RPS17	556.116	815.823	823.917	795.889	335.665	522.537	533.001	520.039	754.403	577.261	988.848	287.521	524.052	434.199	108.3	320.941	623.931	534.015	484.15	1038.89	910.632	623.727	655.102	477.768	394.497	274.178	906.138	267.477	697.744	702.649	849.106	280.494	941.821	211.201	384.892	264.148	569.303	388.916	1570.2	602.694	671.138	214.802	1355.4	528.101	155.366	134.564	189.702	161.826
GAPDH	549.966	804.291	576.212	803.363	1194.77	448.173	591.704	343.836	564.92	491.117	1134.53	506.812	500.495	751.326	710.34	1486.68	354.106	492.906	644.283	524.716	574.282	1766.58	663.471	705.196	1240.31	454.998	844.469	753.774	289.446	487.722	853.834	918.532	780.658	703.749	352.443	935.792	448.417	1061.06	776.494	562.361	433.624	462.59	963.782	879.94	347.257	485.881	469.308	562.43
TMSB10	1139.91	1236.86	705.65	887.112	1119.65	1025.86	675.86	906.937	985.107	702.155	989.594	602.113	813.873	764.6	599.282	927.467	1005.72	581.045	696.558	1194.34	1013.01	1270.32	626.358	804.49	1190.13	731.773	633.426	735.598	917.742	760.154	640.948	437.691	806.793	370.946	536.343	775.875	152.651	351.359	797.893	1039.65	700.985	169.964	1331.88	744.091	247.329	332.502	615.678	19.272
RPL37A	706.477	765.112	776.852	798.571	478.649	430.427	315.427	564.987	847.222	287.406	631.316	664.035	355.482	257.134	288.063	245.43	829.314	583.104	430.415	680.041	837.573	666.401	535.141	551.402	307.689	525.404	816.709	431.546	763.563	450.157	970.526	178.139	662.35	139.368	276.99	314.639	212.704	142.585	1424.92	356.975	631.174	187.379	902.707	473.727	105.058	101.731	223.021	229.305
SCARNA13	283.437	268.024	332.746	350.212	1056.36	375.557	117.596	1504.43	317.541	143.829	245.613	383.254	453.849	628.947	996.327	676.08	228.101	848.254	467.32	339.503	453.248	899.922	218.989	693.789	733.049	296.999	313.433	555.056	463.25	336.702	184.394	145.652	322.8	472.121	394.383	335.789	171.506	360.677	480.125	186.022	302.233	196.032	367.091	467.81	204.886	188.851	301.498	226.386
AGR2	539.501	412.925	615.472	436.463	164.491	202.579	882.631	187.176	636.122	831.943	362.217	255.872	146.51	221.402	180.287	639.502	253.967	736.63	407.586	237.361	1169.09	249.074	351.241	223.69	610.36	320.699	720.566	383.233	251.511	833.183	410.736	201.854	913.652	500.89	42.4779	260.665	0.119307	701.682	548.909	593.551	519.911	21.2679	753.282	866.85	238.38	216.606	96.1627	30.2385
BCYRN1	187.442	341.146	408.149	739.337	69.4415	305.421	943.222	42.0815	258.242	686.711	589.664	604.553	82.5653	69.1113	234.322	481.171	943.967	97.1038	112.106	155.794	140.06	308.757	248.867	47.522	21.1421	281.709	123.772	409.82	428.552	171.454	188.934	33.5758	309.423	76.8515	53.5487	51.6749	126.729	39.427	364.221	920.784	255.798	45.8953	917.825	106.246	59.693	97.3782	175.659	5.65891
RPS19	551.566	556.608	574.814	524.803	773.95	411.657	295.713	818.295	469.798	314.136	473.15	285.931	1025.74	638.943	187.536	424.706	599.74	900.903	750.841	630.475	456.911	935.672	325.11	720.225	539.707	625.411	482.393	697.342	514.537	330.948	664.662	841.897	598.183	421.96	516.372	436.752	827.478	1547.86	994.214	304.466	464.925	155.565	603.323	993.141	370.481	399.53	349.433	375.163
CEACAM5	44.6202	322.176	305.898	203.152	28.4896	20.7934	8.68178	70.9044	17.7202	1.76186	85.9982	6.96703	150.337	13.7859	10.2794	9.20304	88.5831	3.92087	7.29124	128.616	19.0965	132.524	28.2465	41.7706	287.999	43.1508	8.56894	605.05	27.4232	0.347403	3.76647	0.986762	16.8683	7.45072	167.952	1545.67	0	135.845	359.443	1.55488	4.18801	0	249.837	298.387	13.743	1.97427	0.187731	29.2374
H19	0	0.0762878	8.98831	35.9489	54.3801	16.4032	5.19177	0.0988868	0.0930603	0.489224	8.15402	1.34423	0.290639	0.936073	1.03765	0.474743	7.41493	0.752835	1.10268	0.797906	0.502472	37.4521	0.245002	1.15382	0.691385	0.218299	0.251327	1.04081	0.90035	0.914671	0.0406478	0.097329	2.31267	0.627719	1.86703	54.3452	0.696901	1004.93	66.0764	0.724694	1.10722	0.185021	0.948832	12.7521	76.003	34.8269	1407.16	0.289029
RPS16	398.164	380.9	406.306	407.468	315.906	418.303	264.818	472.261	323.375	284.107	1221.96	231.404	449.719	307.988	135.802	443.548	383.749	406.147	452.663	483.682	443.694	527.424	302.69	352.833	378.405	682.204	376.22	352.077	402.907	274.477	574.286	387.876	526.426	244.677	276.962	834.87	300.15	581.66	619.016	284.037	289.865	115.248	1500.5	514.048	128.741	131.886	221.905	303.329
RPL41	479.935	531.233	509.897	492.098	591.997	546.549	312.079	1059.58	561.264	323.519	468.654	401.977	608.278	1273.78	508.478	950.958	470.196	911.852	889.131	534.603	550.821	1124.86	204.559	833.22	735.394	414.396	618.053	635.223	608.805	511.716	390.207	245.838	515.712	364.184	607.284	775.082	520.695	532.372	810.813	374.776	428.711	373.573	600.719	901.248	182.988	209.63	522.185	138.174
HIST1H4J	407.55	268.498	437.247	361.063	474.024	267.258	188.693	1071.55	376.982	290.982	384.167	228.68	293.666	206.578	477.575	464.171	231.351	471.928	457.944	372.723	308.865	1268.94	129.265	450.336	939.108	134.576	238.049	368.902	438.986	185.541	445.266	469.083	505.574	195.996	254.754	478.673	294.599	501.725	593.283	301.064	241.919	6.53422	429.146	578.074	33.3323	47.2771	93.3959	307.729
CXCL5	549.986	863.325	242.203	497.517	8.51061	211.294	29.3303	0.594103	238.245	25.2733	292.288	38.0777	101.215	20.2234	122.348	1059.44	68.2885	22.3206	691.595	355.25	50.6744	341.431	165.77	59.7381	404.323	190.142	31.2453	414.597	357.551	0.191483	92.5876	290.886	201.851	59.6344	438.083	9.3063	0.00993851	0.345574	130.98	87.7096	179.351	0	377.462	81.6095	51.3653	224.374	54.675	0.357568
CEACAM6	101.867	420.967	428.742	513.529	533.364	525.568	69.8455	79.3492	530.901	10.3983	170.417	19.0102	417.156	146.563	17.4713	173.417	601.201	19.639	64.1772	328.687	41.4342	494.494	5.40192	123.611	79.1374	478.607	0.982859	479.92	95.6057	1.11904	1.14857	5.62836	22.9332	17.1146	438.783	258.911	0	14.974	280.009	11.0559	18.5709	0.010963	538.251	275.337	644.168	752.081	12.5989	10.0804
RPLP2	404.114	545.259	649.024	617.337	692.356	667.614	431.676	803.749	577.515	362.219	638.737	438.688	808.4	624.385	402.844	903.792	556.947	617.023	880.279	624.114	550.915	951.919	393.832	845.141	669.781	454.092	688.762	820.402	690.779	383.807	432.449	370.545	830.735	362.032	544.518	313.454	444.209	460.4	1119.4	495.302	653.66	145.369	1044.12	947.815	224.366	254.292	334.103	201.278
ACTB	784.521	871.937	620.529	693.12	967.443	643.916	590.523	774.624	865.423	876.673	422.926	534.225	975.509	505.339	531.506	985.725	703.506	570.511	927.388	758.668	466.26	1163.14	804.87	933.302	1295.61	476.292	857.999	821.464	626.922	580.86	609.206	777.927	824.93	413.574	533.257	734.638	363.473	430.543	582.416	1000.82	713.852	262.804	643.843	713.039	349.154	493.175	423.403	874.99
EEF1A1	602.493	387.125	818.049	771.117	625.365	218.802	384.888	464.61	835.684	459.991	675.233	285.847	537.533	610.439	375.855	898.148	519.911	736.559	806.128	685.617	756.726	1062.33	298.686	502.742	363.164	366.522	667.973	857.371	326.502	501.019	745.872	973.604	756.838	624.997	507.871	626.029	386.517	329.992	1055.81	474.989	617.283	147.606	883.725	818.451	582.925	608.955	410.219	184.113
KRT18	504.086	541.278	496.757	649.253	238.341	686.096	415.507	584.673	341.503	393.129	483.624	304.895	337.26	1003.37	303.657	872.747	352.117	251.308	332.965	439.628	261.672	831.042	119.33	326.494	234.931	275.275	298.29	347.008	480.916	190.032	127.399	127.683	461.885	287.901	360.899	124.215	5.47469	612.92	471.688	458.619	345.63	9.59317	337.289	443.145	637.476	765.641	757.92	18.9062
RPL30	481.23	383.537	622.012	596.98	393.931	524.325	340.423	393.335	408.176	333.184	581.455	295.688	442.132	317.311	174.944	315.472	470.397	394.279	478.134	388.933	481.982	538.016	360.521	618.706	424.341	521.386	1071.37	363.19	444.246	349.818	581.518	279.904	549.166	156.551	228.761	220.323	192.018	329.786	1116.6	338.539	610.323	155.513	762.055	545.485	94.04	100.198	125.896	118.338
RPL5	603.999	316.3	584.524	599.678	187.726	210.849	138.186	196.976	569.408	262.849	423.872	486.665	212.264	184.072	98.002	176.533	390.779	200.872	187.246	502.178	626.328	245.708	471.361	198.838	170.911	307.902	622.107	126.367	471.075	489.471	528.46	159.772	640.734	124.737	130.113	148.335	379.845	208.737	1002.1	307.13	493.008	109.691	542.554	246.951	118.048	120.841	119.732	135.134
FTL	265.721	151.135	175.59	139.21	132.625	203.016	229.323	103.773	216.528	189.16	219.166	201.489	154.1	180.576	102.864	276.955	198.737	182.849	183.531	203.311	184.376	108.767	1497.69	115.743	196.816	219.306	177.244	170.82	230.582	170.403	317.918	170.559	190.164	56.795	103.923	226.578	51.2062	244.761	280.075	216.715	358.347	151.558	224.204	206.578	38.3563	66.4951	54.6215	137.747
RPS3	560.884	514.589	555.884	512.898	584.631	306.545	212.806	675.086	492.66	173.208	206.544	405.963	764.732	373.869	368.679	526.592	354.457	650.798	793.357	499.274	514.435	757.781	414.353	702.567	558.069	309.159	794.029	610.317	491.352	311.677	479.711	502.623	567.889	361.759	389.512	196.149	526.929	477.836	1112.04	234.341	427.369	145.781	410.035	703.832	241.774	260.584	197.827	310.328
KRT19	610.118	820.488	329.834	405.045	638.568	920.485	260.775	712.016	603.382	243.526	254.776	349.366	652.246	484.683	428.324	697.732	444.381	587.036	401.847	389.908	362.423	686.306	580.774	476.728	384.571	379.418	332.74	375.661	405.571	283.255	145.407	332.282	431.587	499.421	358.72	184.014	0.0188288	373.062	325.122	209.665	439.643	0.391197	333.155	306.785	609.033	861.317	505.979	101.892
ACTG1	929.984	1130.57	625.626	646.449	735.072	403.723	472.203	693.683	768.721	505.752	925.481	432.603	966.492	274.024	398.835	821.592	614.678	408.876	509.751	641.735	371.755	915.956	893.171	403.119	602.647	632.002	353.246	758.524	593.541	439.709	353.492	499.693	818.232	375.335	552.699	848.566	679.568	677.016	607.786	635.007	691.157	375.28	681.45	660.949	376.126	585.55	540.231	524.445
HSP90AB1	168.804	220.986	167.094	172.209	176.439	79.202	125.832	127.762	166.325	179.133	144.288	119.056	139.347	132.421	102.605	213.3	134.351	173.556	665.266	153.336	156.474	235.519	118.728	589.233	211.786	163.261	1326.21	225.895	176.44	121.257	184.411	241.329	228.062	123.25	132.289	155.368	156.147	215.889	177.462	176.514	164.851	195.555	134.933	175.969	93.498	116.592	97.3186	142.092
EEF2	309.167	566.07	589.071	584.087	162.371	220.245	390.227	234.262	637.653	489.889	502.536	236.826	262.639	225.065	120.428	302.748	447.883	380.703	431.068	586.377	779.043	527.845	226.06	425.755	141.739	339.636	840.099	268.63	465.235	434.489	742.362	382.281	668.732	304.35	147.852	263.417	505.971	288.096	936.567	400.734	272.251	205.14	649.83	416.216	266.688	242.027	197.686	333.704
RPL8	883.467	446.232	686.551	638.244	568.384	482.612	305.036	423.275	432.49	336.918	649.851	364.789	688.124	308.261	253.644	398.234	540.6	506.74	482.926	421.212	559.85	803.235	401.34	612.961	538.789	553.411	630.905	482.987	444.858	344.788	684.373	349.397	574.279	251.819	376.245	270.555	508.258	401.009	1063.47	356.607	516.211	193.061	617.566	678.929	165.675	155.349	186.74	260.813
RPL13AP5	627.826	504.217	522.187	512.351	699.783	456.435	285.025	722.478	440.441	299.448	495.423	261.424	818.864	641.979	188.421	678.088	530.57	776.987	711.042	658.821	594.537	700.538	270.306	668.598	418.465	309.773	553.267	484.389	473.321	346.806	706.893	754.383	603.543	492.121	554.521	556.384	714.112	918.923	920.247	303.008	384.336	248.962	577.57	839.847	404.016	407.805	392.763	614.64
MUC1	469.509	485.991	229.721	209.903	201.203	147.79	553.814	240.1	548.568	432.289	123.262	275.978	587.403	139.727	498.081	311.399	284.096	368.09	357.533	267.84	345.062	244.926	302.434	547.047	836.717	461.83	243.545	406.501	258.423	257.79	123.058	543.996	460.046	629.035	222.708	138.314	1.06166	13.7672	174.987	291.78	505.73	1.70299	271.823	180.155	388.407	502.184	63.7145	220.156
LYPD8	0	0	0	0	0	0	0	0	0	0	0.142207	0	0	0	0	0	0	0	0.117803	0	0.148563	0	0	0.113088	0.150437	0.121141	0	0	0	0	0	0	0	0	0	0	0	1224.46	1.42904	0	0	0	0.122268	0.259889	0	0	0	0
PPBP	0	0	0.0462701	0.111701	0.0544014	0.303508	0.0671937	0	0	0	0.02646	0	0.0339161	0	0	0.213865	0.0256482	0	0.195866	0.0423417	0	0.426089	0	0	0.056664	0.0439001	0	0.0301432	0.1641	0.0231922	0	0	0.0239293	0.0281387	0.056695	0.11995	0	0	0.0713604	0	0	0	0.0447846	0.0471254	124.482	1184.28	1.34732	0
RPS24	555.538	493.756	580.428	595.616	227.573	461.623	250.646	357.453	523.847	224.659	462.972	369.475	346.176	269.259	149.92	280.025	390.56	313.944	366.289	586.75	530.995	386.581	169.787	344.542	284.634	446.055	558.668	225.294	459.994	405.994	271.144	196.577	635.536	129.345	243.454	263.387	207.821	193.852	916.849	236.092	416.084	140.001	546.86	456.553	84.6863	96.6803	183.465	37.5506
RPS11	603.778	486.174	564.118	542.659	421.064	595.213	500.041	541.03	505.054	449.493	514.688	280.268	417.134	517.038	152.001	424.524	671.523	512.843	389.537	701.665	595.96	617.873	370.15	465.795	361.294	410.122	561.022	424.323	530.874	373.795	700.472	294.019	636.323	179.281	297.967	297.662	278.238	282.552	904.258	453.178	459.626	208.991	596.872	591.527	106.773	120.355	226.003	196.013
GNAS	106.756	93.8276	86.8833	82.3701	199.886	107.098	104.536	215.339	80.4466	114.479	136.64	687.088	124.578	195.923	721.712	160.148	86.7694	149.274	155.696	77.3188	108.423	111.447	102.567	115.204	160.934	106.355	132.693	125.891	80.8833	82.7369	101.101	112.492	103.336	147.883	71.4852	119.628	159.686	99.6467	94.9555	115.765	82.9881	885.595	147.652	130.574	98.9843	136.775	66.7612	168.511
KRT7	188.14	318.54	174.557	228.708	299.904	261.804	159.413	448.686	206.346	212.463	150.975	171.71	301.588	565.743	170.792	976.744	221.616	80.6506	278.245	229.724	38.3127	220.159	153.724	140.253	112.439	238.969	75.6696	199.011	227.471	46.6135	34.9345	113.117	123.561	67.4129	232.775	54.6928	0.0602667	22.0109	109.789	263.816	37.7667	0	179.465	97.078	125.08	382.377	125.307	64.3879
S100A11	444.599	509.965	248.146	303.583	344.792	145.258	143.209	550.069	400.068	132.34	351.198	277.542	612.641	210.885	322.32	190.826	583.703	255.093	200.546	434.05	320.388	421.365	449.51	416.756	463.125	574.786	230.627	177.161	425.697	316.351	135.527	160.79	257.963	200.317	245.093	170.249	13.4098	54.0782	249.259	137.081	401.308	13.8631	602.324	141.751	85.6478	131.916	112.458	35.0897
PIGR	297.328	294.228	244.161	230.07	3.28718	49.3838	101.141	2.03453	479.672	62.1213	75.7305	70.9949	75.4937	35.5963	89.3728	322.229	15.4998	36.5657	154.079	83.3778	163.88	127.557	101.739	157.308	858.603	90.8598	284.805	189.629	124.391	398.868	143.657	388.291	260.506	61.9936	81.6885	3.87891	0.00543051	1.51459	183.913	83.4377	445.704	0.0191178	221.961	215.328	238.312	171.648	168.912	0.174879
RPS20	408.579	477.066	668.084	664.014	561.513	491.216	242.349	396.66	423.683	282.098	361.492	308.27	508.899	360.038	200.921	422.835	456.068	387.089	468.845	375.221	457.339	692.883	342.835	380.272	504.763	430.466	489.231	356.477	422.446	419.267	470.44	373.962	491.896	249.187	277.451	362.191	295.353	481.348	984.259	303.687	610.423	147.597	421.769	682.009	178.861	201.989	202.66	130.651
RPS23	275.944	410.586	425.993	453.239	313.962	378.125	344.229	311.975	374.906	393.221	648.175	220.205	233.772	76.6085	145.923	220	414.414	278.891	337.217	322.839	437.861	430.417	319.014	411.299	263.065	346.855	581.24	218.704	407.871	270.959	555.292	262.999	648.189	172.464	146.137	123.884	245.936	181.45	757.267	363.615	326.971	91.1593	485.128	172.142	153.921	117.676	127.857	83.1263
RPLP0	344.527	484.947	467.628	460.481	361.602	435.661	367.122	368.269	397.881	340.157	532.361	257.004	331.609	403.087	134.926	537.268	443.892	255.735	357.43	319.469	505.631	415.663	137.954	281.279	261.387	256.952	632.814	236.28	288.263	482.991	517.171	528.915	635.932	287.962	200.973	286.197	397.806	801.254	688.03	283.068	342.524	142.809	572.785	546.353	176.681	216.666	125.738	426.931
CTSD	144.997	148.286	116.422	130.127	420.061	211.587	167.681	401.424	121.898	166.464	84.1115	208.352	365.712	327.872	364.322	275.417	103.52	140.031	295.381	93.1107	105.599	178.999	229.482	229.106	193.098	68.3098	106.599	161.2	91.2719	69.9539	21.9371	116.873	48.5473	168.005	162.293	30.2183	19.0455	38.7841	76.3932	127.795	107.939	54.5356	164.051	107.088	385.281	617.916	788.847	51.5921
