genes	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-11	CAS-DAC-12	CAS-DAC-13	CAS-DAC-14	CAS-DAC-15	CAS-DAC-16	CAS-DAC-18	CAS-DAC-19	CAS-DAC-2	CAS-DAC-20	CAS-DAC-21	CAS-DAC-22	CAS-DAC-23	CAS-DAC-24	CAS-DAC-25	CAS-DAC-26	CAS-DAC-27	CAS-DAC-28	CAS-DAC-29	CAS-DAC-3	CAS-DAC-30	CAS-DAC-31	CAS-DAC-32	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-36	CAS-DAC-37	CAS-DAC-38	CAS-DAC-39	CAS-DAC-4	CAS-DAC-41	CAS-DAC-42	CAS-NEN-1	CAS-NEN-2	CAS-ACC-1	CAS-DAC-5	CAS-DAC-6	CAS-DAC-7	CAS-NEN-3	CAS-DAC-8	CAS-DAC-9	NPC-4	NPC-5	NPC-7	CAS-DAC-65
MYL12A	215.569	168.505	125.085	150.048	147.12	126.946	267.893	177.937	173.934	302.512	263.699	114.238	186.21	129.999	84.3951	140.9	129.906	98.5485	107.651	97.396	136.605	89.5426	179.669	106.699	159.827	202.951	109.307	94.6411	143.905	136.415	105.161	109.614	188.898	94.6381	47.4398	55.2445	12.5218	124.98	119.413	305.212	393.931	16.5876	329.288	86.9986	88.586	138.116	68.2421	51.61
FOS	218.293	44.0608	201.897	220.504	174.333	190.483	64.296	149.551	203.837	63.9861	119.865	87.8739	54.9819	63.1066	309.642	116.205	233.124	122.296	27.6934	82.9311	255.692	161.919	41.2984	173.75	86.8704	103.435	84.3839	23.9289	42.3172	207.367	74.3533	17.9917	236.415	98.4842	11.2449	56.8174	13.5118	17.1728	193.76	48.0278	139.322	44.3734	81.9076	67.5328	66.5963	53.0169	54.3479	24.3579
ANXA4	178.443	164.094	142.249	144.206	161.092	334.665	108.988	201.864	123.413	70.3115	136.673	80.4908	70.011	52.4408	198.616	134.894	96.9803	127.482	76.7938	99.8798	133.345	105.644	155.122	130.133	70.1172	85.9583	111.948	51.4734	240.201	315.134	192.735	135.894	180.048	157.353	89.9617	55.1511	2.56291	32.6473	117.033	57.9372	148.316	9.12186	69.8404	105.103	252.342	212.316	340.272	18.8951
HIST1H2BC	183.441	161.198	220.168	205.314	120.291	175.008	150.34	134.03	179.104	234.144	161.282	152.415	135.001	133.309	133.286	221.661	172.305	167.614	273.893	153.638	155.76	408.553	130.092	179.281	214.462	150.087	325.736	98.2281	244.799	128.623	246.973	227.522	311.167	117.9	96.8839	165.985	254.98	326.606	257.036	204.274	120.739	111.929	176.364	278.878	39.0118	39.97	50.9795	360.136
HNRNPH1	161.779	247.47	280.596	277.285	163.699	223.295	390.451	144.901	280.183	445.723	383.552	178.666	165.361	312.224	182.514	183.324	284.451	161.553	204.579	231.984	218.251	180.23	164.386	195.24	192.061	232.676	211.863	184.739	230.761	272.08	295.8	166.923	234.493	131.84	166.046	168.591	231.041	109.191	289.86	400.721	195.586	97.4499	224.823	195.526	159.356	154.146	181.214	145.046
RPL28	294.62	222.142	218.388	204.018	290.839	297.998	205.325	238.541	190.627	203.028	260.187	89.997	350.953	258.853	66.109	241.159	293.794	267.221	286.897	281.794	212.821	327.458	171.062	320.376	193.073	225.576	266.577	230.396	247.426	144.112	322.757	212.55	335.133	117.165	176.729	155.408	186.288	160.617	359.108	172.131	181.15	99.9037	261.314	286.322	87.1752	97.4938	126.68	187.502
HIST1H4L	180.457	130.694	107.99	80.0825	79.1826	1.71096	150.437	296.954	151.986	264.853	123.133	147.937	43.6815	123.033	132.884	109.589	127.676	163.935	130.995	74.1156	111.92	169.874	0	97.4032	138.752	87.0467	197.818	104.834	238.248	97.3033	200.213	58.6349	237.625	30.8025	36.687	21.1351	0	109.398	98.0561	246.684	80.6154	0	144.493	97.995	3.29316	7.14762	10.3491	146.964
TACSTD2	81.9605	123.809	68.5436	100.831	183.303	133.778	177.66	421.069	106.784	189.306	66.2541	55.0288	168.094	186.681	61.4733	77.6386	125.056	125.215	82.6642	119.938	111.951	98.6247	91.9029	102.31	31.094	117.403	38.2114	76.6077	144.375	29.8911	31.5998	235.923	64.292	171.575	232.927	50.5139	0.0413402	0.0427825	51.4322	148.966	53.5442	0	115.097	41.5205	82.8912	181.236	80.3397	4.21614
NCL	248.084	201.022	264.68	270.499	203.797	171.393	175.517	181.744	257.16	192.935	217.555	216.788	223.659	136.714	93.9361	202.581	304.159	130.601	199.578	225.442	216.314	227.072	244.662	175.087	169.591	169.306	217.626	217.422	218.933	187.438	447.115	196.329	366.803	115.055	135.395	108.851	180.406	114.292	311.811	215.893	211.093	32.9497	213.784	221.232	63.7039	86.1053	90.2502	103.279
SCG2	0	0.254116	2.36219	0.250109	0.133099	0.567057	0.216981	0.0553155	0.0948836	0.200503	0.090436	0.128443	0.230239	0.0990725	0.0138468	0.155434	0.187091	0.135552	0.296716	0.0736126	0.385026	0.216117	0.0135543	0.127886	0.027654	0.127961	0.142146	0.161961	0.0911871	0.101466	0.144384	0.190841	0.454359	0.123807	0.164755	1.94881	0.0796203	1.10354	9.6382	0.130875	0.108852	511.634	0.13071	6.19757	0.271002	0.370156	0.0789854	203.055
LDHA	94.7715	176.391	111.746	147.172	113.137	60.0425	97.0018	97.6951	103.623	45.2501	185.463	95.8989	143.013	71.6658	251.977	127.796	200.704	45.4021	111.365	111.646	75.8767	423.123	148.683	218.095	295.618	83.2446	225.907	216.842	111.968	94.8703	110.256	102.042	109.807	129.955	70.5432	68.2274	87.044	110.806	164.053	77.0243	75.923	39.7452	256.709	151.1	57.7221	85.2946	85.4054	49.8875
