TF	CAS-ACC-1	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16	CAS-DAC-65	CAS-NEN-3	CAS-NEN-1	CAS-NEN-2
ETV5 (453g)	0.659787431	0.629904151	0.624723292	0.627545815	0.642946025	0.632744219	0.6126278	0.641137449	0.642723474	0.620450492	0.643606753	0.639581437	0.639787059	0.605959418	0.618131403	0.635388362	0.594032917	0.615705656	0.644462636	0.622469614	0.629769019	0.636429859	0.652353203	0.630785583	0.64230315	0.639316715	0.606892718	0.602977293	0.629836739	0.647610521	0.615740901	0.611536898	0.642375179	0.634728557	0.655371805	0.623932512	0.669207537	0.620011546	0.638933484	0.649755078	0.662179473	0.609911474	0.638126697	0.603037933	0.562753535
HNF4G (495g)	0.564501177	0.618985696	0.650636374	0.615506976	0.657585631	0.587497655	0.622023616	0.609942745	0.485952811	0.586550465	0.546734204	0.496333676	0.484854127	0.605132317	0.576331673	0.606867728	0.594732974	0.580006319	0.571178903	0.600650126	0.577464352	0.618309756	0.632069332	0.637053964	0.59348604	0.58271163	0.59932801	0.600608656	0.592271267	0.601011794	0.59081684	0.577894995	0.560575593	0.572742084	0.57736392	0.575491685	0.585425403	0.481953172	0.594397684	0.551344051	0.611889175	0.558999575	0.463847383	0.616899761	0.408979052
FOS (29g)	0.454807567	0.667461117	0.638673758	0.712702117	0.516592236	0.623317026	0.687660361	0.544375081	0.584195501	0.557848352	0.676904488	0.573250098	0.564107606	0.561143818	0.582437603	0.692990914	0.605965482	0.706357574	0.640206589	0.576898565	0.477160355	0.655527784	0.535476611	0.64444734	0.668406401	0.550973122	0.668967886	0.522365818	0.690171644	0.546751324	0.502195003	0.610518959	0.482434049	0.466572691	0.623954323	0.606953411	0.57080515	0.560823985	0.525613902	0.631163601	0.591568249	0.508620097	0.482036035	0.519420983	0.438619268
IRF6 (107g)	0.615648733	0.615201917	0.651272331	0.608697976	0.592649941	0.566227276	0.626235182	0.630069817	0.526450349	0.612854523	0.572675848	0.530874085	0.515574178	0.644593269	0.643004947	0.603179733	0.563373834	0.620137496	0.604374033	0.620916527	0.594007128	0.593996827	0.603329101	0.589119193	0.582271448	0.55604	0.592591996	0.563030674	0.576051434	0.594825433	0.66939864	0.613074068	0.663112956	0.557711375	0.605526483	0.573739451	0.60185023	0.548084872	0.620974471	0.61254098	0.623993376	0.593512025	0.516865695	0.595901912	0.450507722
KLF6 (21g)	0.61018712	0.770372769	0.73765532	0.773368788	0.705546234	0.666732082	0.823166165	0.745730836	0.637242877	0.668900598	0.717314441	0.604682425	0.609879669	0.67297597	0.666022326	0.698962187	0.65061703	0.747850291	0.726403894	0.708172657	0.643159688	0.678739055	0.607328473	0.664792519	0.754974014	0.636631244	0.725301646	0.684358227	0.683602681	0.644641344	0.633854366	0.656579632	0.702003997	0.625281695	0.643967567	0.653498572	0.630282692	0.614471821	0.680348271	0.69015402	0.663045931	0.592014758	0.599946359	0.692109937	0.518834692
MYB (31g)	0.559014926	0.561479607	0.60140212	0.574869119	0.485415826	0.485369281	0.555446457	0.509504094	0.530207858	0.530974746	0.541055114	0.536241007	0.535768905	0.535549478	0.460188309	0.5493313	0.434692602	0.489084034	0.552334576	0.571364928	0.57750225	0.571759454	0.612362415	0.600205242	0.589920962	0.623661824	0.618344585	0.624171606	0.480342396	0.614370509	0.497748097	0.583222881	0.528257391	0.514431239	0.534246211	0.578328982	0.579448284	0.525079016	0.506013201	0.407020351	0.50889014	0.517948729	0.426580432	0.546219419	0.369781947
CTCF (787g)	0.638439684	0.748573837	0.734528856	0.730414309	0.731585553	0.72935188	0.724435379	0.730215591	0.764174681	0.743410933	0.741935741	0.76131653	0.772828282	0.751529869	0.735852299	0.761732072	0.747100348	0.747183349	0.742845703	0.681139141	0.689097094	0.759513457	0.718452506	0.754445386	0.751443731	0.758799704	0.739989524	0.71894083	0.677299231	0.692304369	0.681020287	0.67508232	0.684113816	0.693482246	0.728075675	0.700491336	0.703248112	0.69174371	0.676802212	0.698566989	0.711270691	0.710733247	0.644937862	0.67694222	0.675407959
FOSB (33g)	0.494712118	0.672955071	0.688815594	0.711539222	0.522574748	0.641273589	0.686056608	0.552538371	0.653456853	0.596251111	0.700586571	0.642056517	0.648551064	0.581871071	0.626806094	0.6922409	0.623863871	0.715443447	0.669104985	0.592786242	0.500783968	0.660365769	0.511041147	0.626385479	0.668932158	0.578860133	0.69322997	0.574731025	0.679301779	0.510801688	0.520623676	0.618983069	0.501573142	0.480025987	0.607489032	0.63777124	0.53838946	0.611351611	0.50793859	0.606718598	0.615478637	0.548607077	0.466539233	0.547892864	0.492509094
ELF4 (36g)	0.639968388	0.617212048	0.623734857	0.585203129	0.665189156	0.621111989	0.630824619	0.644505912	0.576857292	0.643133392	0.605693571	0.565665243	0.554675539	0.635262879	0.638288531	0.614791526	0.672586255	0.653727947	0.640844586	0.642896685	0.621434598	0.594144552	0.58605642	0.584137947	0.574182883	0.584447193	0.541209955	0.575813108	0.637555502	0.652844113	0.667539047	0.563468066	0.64342164	0.621222707	0.649644748	0.593335166	0.644505912	0.656868135	0.677158139	0.692725454	0.705771074	0.625420442	0.522569265	0.596914407	0.523057951
IRF9 (506g)	0.431578368	0.53986714	0.579892821	0.561881182	0.514891121	0.535693565	0.535994083	0.540945251	0.473180908	0.564542364	0.524242392	0.489918277	0.465463093	0.577892172	0.593482271	0.517541398	0.549504849	0.554559411	0.537250959	0.558917963	0.519742899	0.500539401	0.456405162	0.464398648	0.494938605	0.454010402	0.56917631	0.533406754	0.573522163	0.500853309	0.59515148	0.599449432	0.554234459	0.49954025	0.498283373	0.537041135	0.500866285	0.493921922	0.532618807	0.539146006	0.543763249	0.553717904	0.42814608	0.517070397	0.350503006
